opentime,open,high,low,close,volume,closetime,assetvolume,trades,bav,qav,ignore
1509580800000,0.00002246,0.00003175,0.00002246,0.00002959,5930002.00000000,1509667199999,161.99230072,3767,2897956.00000000,79.65033855,1704107.58140100
1509667200000,0.00002957,0.00004598,0.00002475,0.00002871,18667797.00000000,1509753599999,549.49890645,8113,9029261.00000000,267.84580259,4514676.50955000
1509753600000,0.00002900,0.00002922,0.00002665,0.00002706,12719813.00000000,1509839999999,355.38235027,5967,4912333.00000000,137.71353838,4680376.40507900
1509840000000,0.00002707,0.00002751,0.00002603,0.00002700,10199145.00000000,1509926399999,274.88296180,5663,4374305.00000000,118.07497130,4531877.85380400
1509926400000,0.00002700,0.00002950,0.00002690,0.00002850,12147312.00000000,1510012799999,337.12679086,6362,5444470.00000000,151.71569022,4616711.95768900
1510012800000,0.00002835,0.00002910,0.00002778,0.00002908,8862830.00000000,1510099199999,251.95495535,5148,4549900.00000000,129.65066883,4681144.13796100
1510099200000,0.00002898,0.00003011,0.00002663,0.00002900,12948344.00000000,1510185599999,367.55984380,6141,5402225.00000000,153.84049136,5173999.81774900
1510185600000,0.00002901,0.00003100,0.00002888,0.00003052,8846759.00000000,1510271999999,266.27254267,5202,4421431.00000000,133.27280426,6031135.30188000
1510272000000,0.00003033,0.00003250,0.00002930,0.00003103,8707440.00000000,1510358399999,264.71234921,5722,4375263.00000000,133.07414602,5877357.13301700
1510358400000,0.00003104,0.00003417,0.00002959,0.00003290,9595078.00000000,1510444799999,306.13885441,5836,4114841.00000000,131.31439379,7517665.33314700
1510444800000,0.00003309,0.00003638,0.00002859,0.00003275,10382975.00000000,1510531199999,337.12687460,6959,4688169.00000000,151.66499848,7789992.20566900
1510531200000,0.00003274,0.00003362,0.00002915,0.00003094,10383241.00000000,1510617599999,324.84895132,5943,4545722.00000000,142.43015921,8495759.71960700
1510617600000,0.00003095,0.00003192,0.00002949,0.00003109,10623098.00000000,1510703999999,328.72888022,6472,4475914.00000000,138.62743236,9553470.01101400
1510704000000,0.00003109,0.00003110,0.00002800,0.00002895,11124850.00000000,1510790399999,327.26493078,6554,4946026.00000000,145.33786029,10533084.62967700
1510790400000,0.00002887,0.00006250,0.00002732,0.00002871,44497596.00000000,1510876799999,1485.51917087,16716,22702322.00000000,754.67298838,22982338.62346000
1510876800000,0.00002871,0.00003125,0.00002702,0.00002862,39499369.00000000,1510963199999,1134.18597804,11822,17740097.00000000,509.40835587,20694654.18935100
1510963200000,0.00002862,0.00002988,0.00002800,0.00002919,28466966.00000000,1511049599999,826.50603584,8521,10941331.00000000,318.14437330,21941183.94635800
1511049600000,0.00002917,0.00003098,0.00002779,0.00002880,32729729.00000000,1511135999999,956.61131059,9319,17360360.00000000,508.39828371,22234275.69443300
1511136000000,0.00002882,0.00003068,0.00002852,0.00002929,34221948.00000000,1511222399999,1011.72398103,10049,18790758.00000000,556.91310459,23207449.34928941
1511222400000,0.00002930,0.00003035,0.00002800,0.00002834,33132930.00000000,1511308799999,961.32994148,11076,17286738.00000000,501.96396175,24630685.57480600
1511308800000,0.00002835,0.00002964,0.00002782,0.00002905,32891710.00000000,1511395199999,940.18596420,12259,16340066.00000000,467.68457197,26571239.60073400
1511395200000,0.00002908,0.00003081,0.00002878,0.00003006,44801739.00000000,1511481599999,1324.01801929,16144,20010271.00000000,591.70958631,30752278.15008300
1511481600000,0.00003005,0.00003018,0.00002756,0.00002918,40670140.00000000,1511567999999,1186.93100988,14665,20191026.00000000,589.89859206,30426720.57378500
